number,title,login,created_at,closed_at,is_pr
143,Fix warnings,YingboMa,2019-12-24T21:00:15.0,2019-12-25T17:34:46.0,true
142,Add tests for new special functions and nan math,YingboMa,2019-12-24T16:49:32.0,,false
141,Change to BlueStyle,oxinabox,2019-12-24T11:20:51.0,2020-01-28T13:04:08.0,false
140,remove old atan2 tests,oxinabox,2019-12-23T17:29:51.0,2019-12-25T17:28:45.0,true
139,Fix a few spelling mistakes and formatting issues,YingboMa,2019-12-21T15:40:24.0,2019-12-21T17:12:11.0,true
138,Fix TeX in docs,YingboMa,2019-12-21T06:05:30.0,2019-12-21T10:46:18.0,true
137,Setup nightly notifications,omus,2019-12-20T19:34:34.0,2019-12-24T17:27:30.0,true
135,Summarised the geometric meaning of push-forwards and pullbacks,aisopous,2019-12-07T02:05:47.0,2020-04-10T23:01:06.0,true
133,[WIP] ChainRules Mathematical Manifesto,oxinabox,2019-11-25T15:44:23.0,2020-07-06T18:09:47.0,true
132,Fix test utils,oxinabox,2019-11-21T19:44:22.0,2019-11-22T13:49:01.0,true
130,Roadmap to v2,oxinabox,2019-10-29T12:23:55.0,,false
129,Add bounds,oxinabox,2019-10-29T10:47:25.0,2019-10-29T11:39:50.0,true
127,Rules for FFT,jessebett,2019-10-22T17:44:08.0,,false
126,remove comma in `test_scalar`,simeonschaub,2019-10-20T10:41:00.0,2019-10-20T12:41:58.0,true
125,Add frule and rrule for cat,AzamatB,2019-10-19T14:06:01.0,,false
124,Don't allow sum of anything in rrule,oxinabox,2019-10-18T19:22:50.0,2019-10-28T17:21:25.0,true
122,Stop throwing errors in higher order functions,oxinabox,2019-10-17T18:03:03.0,2020-04-20T10:42:06.0,false
121,Support SpecialFunction 0.8 + other improvements,oxinabox,2019-10-17T14:59:29.0,2019-10-28T17:20:56.0,true
120,Removes rules depending on casted,oxinabox,2019-10-17T12:04:19.0,2019-10-17T13:21:58.0,true
119,WIP: support SpecialFunctions 0.8 and 0.7,oxinabox,2019-10-14T18:38:22.0,2019-10-15T09:38:56.0,true
