number,title,login,created_at,closed_at,is_pr
31,Better varargs are actually worse,maleadt,2018-02-08T14:04:30.0,2018-05-10T23:39:00.0,false
30,API changes to make it easier to build nested traces,jrevels,2018-01-31T17:56:09.0,2018-03-06T19:54:58.0,false
29,Interface Stuff,MikeInnes,2018-01-22T13:05:18.0,2018-02-15T16:41:35.0,true
28,better varargs-based approach to interception,jrevels,2018-01-17T21:47:28.0,2018-01-18T21:58:48.0,true
27,Issues with nested trace,MikeInnes,2018-01-16T22:06:35.0,2018-01-18T22:09:22.0,false
26,add pass type generation,jrevels,2018-01-03T23:48:37.0,2018-01-19T22:06:20.0,false
25,support for inference heuristic spoofing (ref JuliaLang/julia#24852),jrevels,2018-01-02T19:35:32.0,2018-01-12T01:15:51.0,true
24,scalar metadata propagation through `Array`,jrevels,2017-12-22T21:29:58.0,2018-05-10T23:51:49.0,false
23,"Another day, another crash",jrevels,2017-12-22T21:22:00.0,2017-12-22T23:17:05.0,false
22,fix iteration bugs,jrevels,2017-12-21T21:44:43.0,2017-12-21T21:45:23.0,true
21,fix #20,jrevels,2017-12-21T18:50:19.0,2017-12-21T18:51:02.0,true
20,overdubbing calls in non-assignment statements,jrevels,2017-12-21T17:45:42.0,2017-12-21T18:51:03.0,false
19,Iteration is now broken,jrevels,2017-12-20T23:05:42.0,2017-12-21T21:45:23.0,false
18,fix overdub calls for linear IR change,jrevels,2017-12-20T22:48:51.0,2017-12-20T22:50:04.0,true
17,post-JuliaLang/julia#24960 metadata wrapper refactor,jrevels,2017-12-12T19:01:00.0,2017-12-22T21:28:48.0,false
16,Broken by linear IR change in Base,jrevels,2017-12-12T18:44:49.0,2017-12-20T23:00:25.0,false
15,fix github issue links in design doc,rdeits,2017-11-28T18:40:19.0,2017-11-30T22:30:29.0,true
14,attempt to generalize Overdub{Intercept} to accept varargs,jrevels,2017-11-14T21:01:34.0,2018-01-17T22:02:45.0,true
13,overdubbed method doesn't infer,maleadt,2017-11-14T16:28:39.0,2018-05-10T23:45:10.0,false
12,clean debug info,maleadt,2017-11-14T15:21:31.0,,false
11,failure to infer/inline,maleadt,2017-11-13T10:10:30.0,2017-11-14T15:12:26.0,false
